mx,my,mz,vx,vy,vz,err_x,err_y,err_z,err_per_x,err_per_y,err_per_z
15,10,2,14.73522,10.153567,1.571596,,,,,,
40,10,2,39.941595,10.847663,1.482779,,,,,,
65,10,2,64.625753,11.561416,0.595907,,,,,,
90,10,2,89.832266,12.146577,0.404654,,,,,,
115,10,2,114.804581,12.440319,0.738576,,,,,,
140,10,2,139.456008,12.782804,0.809198,,,,,,
15,35,2,14.386861,35.392192,1.734128,,,,,,
40,35,2,39.338814,35.483104,1.501117,,,,,,
65,35,2,63.956677,36.924098,0.406828,,,,,,
90,35,2,89.303792,36.832531,0.674069,,,,,,
115,35,2,114.129097,37.242086,0.713459,,,,,,
140,35,2,139.160357,37.711804,0.61139,,,,,,
15,60,2,14.117717,59.915394,1.755219,,,,,,
40,60,2,38.676635,60.933662,0.922454,,,,,,
65,60,2,63.7546,61.578176,0.808034,,,,,,
90,60,2,88.716382,61.436445,0.804667,,,,,,
115,60,2,113.681956,61.777917,0.931715,,,,,,
140,60,2,138.680158,62.70785,0.809204,,,,,,
15,85,2,13.376755,85.619805,1.49772,,,,,,
40,85,2,38.58803,85.798283,1.448517,,,,,,
65,85,2,63.305136,86.101099,1.212344,,,,,,
90,85,2,88.686112,86.256087,0.900109,,,,,,
115,85,2,113.124145,86.740411,1.367627,,,,,,
140,85,2,138.357999,87.5619,1.013452,,,,,,
15,110,2,13.107635,110.109489,1.571023,,,,,,
40,110,2,38.201094,110.832155,1.523298,,,,,,
65,110,2,63.011643,111.53109,0.774364,,,,,,
90,110,2,88.219528,111.13705,1.073138,,,,,,
115,110,2,113.00917,112.291444,0.962642,,,,,,
140,110,2,138.169554,111.986239,0.921043,,,,,,
15,135,2,12.842304,135.164144,1.863399,,,,,,
40,135,2,37.791995,135.613354,1.389079,,,,,,
65,135,2,62.411753,136.53725,0.770847,,,,,,
90,135,2,86.735782,136.457929,1.169106,,,,,,
115,135,2,112.026535,135.569423,1.496631,,,,,,
140,135,2,137.668225,137.304169,1.266641,,,,,,
15,160,2,12.142915,160.183464,1.960077,,,,,,
40,160,2,37.313382,160.187201,1.868756,,,,,,
65,160,2,62.062031,160.279688,1.993041,,,,,,
90,160,2,87.231991,161.385811,1.790935,,,,,,
115,160,2,112.329891,160.783822,2.004393,,,,,,
140,160,2,137.539074,161.431984,2.025621,,,,,,
15,185,2,12.272943,184.403729,2.881014,,,,,,
40,185,2,37.04466,185.001116,2.395111,,,,,,
65,185,2,61.693294,185.215663,2.509278,,,,,,
90,185,2,87.217982,186.134191,1.969987,,,,,,
115,185,2,112.095229,186.217479,2.629648,,,,,,
140,185,2,136.944808,187.392932,2.2979,,,,,,
15,210,2,11.384758,210.666548,2.893064,,,,,,
40,210,2,36.830106,209.460482,3.431085,,,,,,
65,210,2,61.344977,210.230719,2.940365,,,,,,
90,210,2,86.354583,209.92668,3.263966,,,,,,
115,210,2,111.59539,210.36486,3.155274,,,,,,
140,210,2,136.203723,212.307931,2.864838,,,,,,
15,235,2,11.340489,233.790723,4.06905,,,,,,
40,235,2,36.424845,235.456301,3.557264,,,,,,
65,235,2,61.274321,234.837123,3.718065,,,,,,
90,235,2,86.549299,235.636568,3.747988,,,,,,
115,235,2,111.296793,235.266594,4.13567,,,,,,
140,235,2,136.144143,235.976416,4.000225,,,,,,
15,260,2,11.297097,259.111483,4.704521,,,,,,
40,260,2,36.078029,260.280106,4.631138,,,,,,
65,260,2,61.244759,259.666384,4.272757,,,,,,
90,260,2,86.390045,260.721899,4.274696,,,,,,
115,260,2,111.035531,260.853352,4.548584,,,,,,
140,260,2,135.776721,260.066063,5.084595,,,,,,
